2 nodes AvPaths,%Euler,AvEVCent,AvDiameter,3 nodes AvPaths,%Euler,AvEVCent,AvDiameter,4 nodes AvPaths,%Euler,AvEVCent,AvDiameter,5 nodes AvPaths,%Euler,AvEVCent,AvDiameter,6 nodes AvPaths,%Euler,AvEVCent,AvDiameter,7 nodes AvPaths,%Euler,AvEVCent,AvDiameter,8 nodes AvPaths,%Euler,AvEVCent,AvDiameter,9 nodes AvPaths,%Euler,AvEVCent,AvDiameter,10 nodes AvPaths,%Euler,AvEVCent,AvDiameter
1.00000,1.00000,1.00000,1.00000,0.33330,1.00000,1.00000,1.00000,0.16670,1.00000,1.00000,1.00000,0.10000,1.00000,1.00000,1.00000,0.06667,1.00000,1.00000,1.00000,0.04762,1.00000,1.00000,1.00000,0.03571,1.00000,1.00000,1.00000,0.02778,1.00000,1.00000,1.00000,0.02222,1.00000,1.00000,1.00000
     NA,     NA,     NA,     NA,1.00000,1.00000,2.00000,2.00000,0.46670,0.80000,1.80000,1.80000,0.26600,0.66000,1.66000,1.66000,0.17400,0.61000,1.61000,1.61000,0.11480,0.41000,1.41000,1.41000,0.08464,0.37000,1.37000,1.37000,0.06806,0.45000,1.45000,1.45000,0.05156,0.32000,1.32000,1.32000
     NA,     NA,     NA,     NA,2.00000,1.00000,2.00000,1.00000,1.00000,0.84000,2.16000,2.48000,0.56000,0.62000,2.18000,2.40000,0.33330,0.37000,2.11000,2.27000,0.22000,0.20000,2.08000,2.08000,0.16640,0.26000,2.03000,2.12000,0.12670,0.28000,1.92000,2.10000,0.09422,0.18000,1.82000,1.90000
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,1.59000,1.00000,2.82000,2.00000,0.97000,0.64000,2.66000,2.80000,0.60530,0.48000,2.43000,2.93000,0.40860,0.32000,2.40000,2.94000,0.26890,0.21000,2.20000,2.73000,0.20560,0.22000,2.26000,2.60000,0.15710,0.20000,2.18000,2.51000
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,2.16700,1.00000,3.00000,2.00000,1.41000,0.75000,3.05000,2.71000,0.94930,0.50000,2.90000,3.28000,0.61670,0.31000,2.77000,3.34000,0.44000,0.20000,2.70000,3.23000,0.30690,0.16000,2.58000,2.97000,0.23270,0.11000,2.45000,3.03000
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,3.00000,0.00000,3.00000,1.00000,1.85500,0.68000,3.37000,2.30000,1.27400,0.48000,3.22000,3.20000,0.94620,0.35000,3.20000,3.64000,0.64750,0.21000,2.97000,3.74000,0.47670,0.15000,2.90000,3.72000,0.35240,0.09000,2.75000,3.70000
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,2.35600,0.61000,3.74000,2.00000,1.63900,0.54000,3.66000,2.82000,1.19800,0.33000,3.46000,3.61000,0.92000,0.20000,3.27000,4.17000,0.66560,0.18000,3.24000,4.08000,0.50490,0.08000,3.11000,4.02000
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,2.78400,0.72000,4.00000,2.00000,2.04900,0.43000,3.91000,2.69000,1.53800,0.37000,3.70000,3.25000,1.15800,0.19000,3.62000,3.71000,0.89390,0.15000,3.53000,4.29000,0.66890,0.07000,3.37000,4.54000
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,3.30000,1.00000,4.00000,2.00000,2.44400,0.44000,4.27000,2.19000,1.82300,0.34000,4.11000,3.09000,1.43000,0.23000,3.88000,3.78000,1.11300,0.11000,3.77000,4.37000,0.86220,0.07000,3.78000,4.44000
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,4.00000,1.00000,4.00000,1.00000,2.78100,0.51000,4.46000,2.05000,2.13800,0.27000,4.38000,2.99000,1.70400,0.20000,4.32000,3.42000,1.36300,0.13000,3.95000,4.01000,1.09600,0.07000,3.81000,4.58000
