2 nodes AvPaths,%Euler,AvEVCent,AvDiameter,3 nodes AvPaths,%Euler,AvEVCent,AvDiameter,4 nodes AvPaths,%Euler,AvEVCent,AvDiameter,5 nodes AvPaths,%Euler,AvEVCent,AvDiameter,6 nodes AvPaths,%Euler,AvEVCent,AvDiameter,7 nodes AvPaths,%Euler,AvEVCent,AvDiameter,8 nodes AvPaths,%Euler,AvEVCent,AvDiameter,9 nodes AvPaths,%Euler,AvEVCent,AvDiameter,10 nodes AvPaths,%Euler,AvEVCent,AvDiameter
  1.00000,100.00000,  1.00000,  1.00000,  0.33330,100.00000,  1.00000,  1.00000,  0.16670,100.00000,  1.00000,  1.00000,  0.10000,100.00000,  1.00000,  1.00000,  0.06667,100.00000,  1.00000,  1.00000,  0.04762,100.00000,  1.00000,  1.00000,  0.03571,100.00000,  1.00000,  1.00000,  0.02778,100.00000,  1.00000,  1.00000,  0.02222,100.00000,  1.00000,  1.00000
       NA,       NA,       NA,       NA,  1.00000,100.00000,  2.00000,  2.00000,  0.46670,100.00000,  1.80000,  1.80000,  0.26600,100.00000,  1.66000,  1.66000,  0.17400,100.00000,  1.61000,  1.61000,  0.11480,100.00000,  1.41000,  1.41000,  0.08464,100.00000,  1.37000,  1.37000,  0.06806,100.00000,  1.45000,  1.45000,  0.05156,100.00000,  1.32000,  1.32000
       NA,       NA,       NA,       NA,  2.00000,100.00000,  2.00000,  1.00000,  1.00000, 86.44068,  2.16000,  2.48000,  0.56000, 91.46919,  2.18000,  2.40000,  0.33330, 95.04950,  2.11000,  2.27000,  0.22000, 96.52605,  2.08000,  2.08000,  0.16640, 97.81312,  2.03000,  2.12000,  0.12670, 98.66889,  1.92000,  2.10000,  0.09422, 99.14530,  1.82000,  1.90000
       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,  1.59000,100.00000,  2.82000,  2.00000,  0.97000, 74.28571,  2.66000,  2.80000,  0.60530, 84.86239,  2.43000,  2.93000,  0.40860, 89.32039,  2.40000,  2.94000,  0.26890, 95.54455,  2.20000,  2.73000,  0.20560, 95.43651,  2.26000,  2.60000,  0.15710, 96.86469,  2.18000,  2.51000
       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,  2.16700,100.00000,  3.00000,  2.00000,  1.41000, 78.07018,  3.05000,  2.71000,  0.94930, 71.42857,  2.90000,  3.28000,  0.61670, 79.91453,  2.77000,  3.34000,  0.44000, 83.64198,  2.70000,  3.23000,  0.30690, 89.04762,  2.58000,  2.97000,  0.23270, 93.16406,  2.45000,  3.03000
       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,  3.00000,  0.00000,  3.00000,  1.00000,  1.85500, 68.31683,  3.37000,  2.30000,  1.27400, 59.37500,  3.22000,  3.20000,  0.94620, 65.69767,  3.20000,  3.64000,  0.64750, 76.98413,  2.97000,  3.74000,  0.47670, 82.44048,  2.90000,  3.72000,  0.35240, 86.32075,  2.75000,  3.70000
       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,  2.35600, 61.00000,  3.74000,  2.00000,  1.63900, 59.29204,  3.66000,  2.82000,  1.19800, 57.14286,  3.46000,  3.61000,  0.92000, 59.78261,  3.27000,  4.17000,  0.66560, 74.10072,  3.24000,  4.08000,  0.50490, 79.53890,  3.11000,  4.02000
       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,  2.78400, 72.00000,  4.00000,  2.00000,  2.04900, 43.56436,  3.91000,  2.69000,  1.53800, 49.60000,  3.70000,  3.25000,  1.15800, 52.72727,  3.62000,  3.71000,  0.89390, 63.03318,  3.53000,  4.29000,  0.66890, 72.34043,  3.37000,  4.54000
       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,  3.30000,100.00000,  4.00000,  2.00000,  2.44400, 44.00000,  4.27000,  2.19000,  1.82300, 41.07143,  4.11000,  3.09000,  1.43000, 41.66667,  3.88000,  3.78000,  1.11300, 49.39759,  3.77000,  4.37000,  0.86220, 65.04065,  3.78000,  4.44000
       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,       NA,  4.00000,100.00000,  4.00000,  1.00000,  2.78100, 51.48515,  4.46000,  2.05000,  2.13800, 29.80769,  4.38000,  2.99000,  1.70400, 37.00787,  4.32000,  3.42000,  1.36300, 48.40764,  3.95000,  4.01000,  1.09600, 51.33690,  3.81000,  4.58000
